Reynolds,File,Angle,Cl,Cd
100000,+31+81,0.0,0.5509,0.03747
100000,+31+81,1.0,0.7279,0.03073
100000,+31+81,2.0,0.8321,0.02927
100000,+31+81,3.0,0.9455,0.02678
100000,+31+81,4.0,1.0793,0.02434
100000,+31+81,5.0,1.192,0.02298
100000,+31+81,6.0,1.2937,0.02292
100000,+31+81,7.0,1.3905,0.02376
100000,+31+81,8.0,1.4814,0.02504
100000,+31+81,9.0,1.5679,0.02709
100000,+31+81,10.0,1.6113,0.03
100000,+31+81,11.0,1.6448,0.03434
100000,+31+81,12.0,1.6477,0.04031
100000,+31+81,13.0,1.6377,0.04815
100000,+31+81,14.0,1.621,0.05832
100000,+31+81,15.0,1.5935,0.0715
100000,+31+81,16.0,1.5321,0.09176
100000,+31+81,17.0,1.4808,0.11243
100000,+31+81,18.0,1.433,0.13588
100000,+31+81,19.0,1.3077,0.18232
100000,+31+81,20.0,1.2132,0.24035
100000,111,0.0,0.7226,0.02696
100000,111,1.0,0.8552,0.02305
100000,111,2.0,0.9847,0.02219
100000,111,3.0,1.1073,0.02157
100000,111,4.0,1.2287,0.02108
100000,111,5.0,1.3367,0.02188
100000,111,6.0,1.4319,0.02329
100000,111,7.0,1.531,0.02441
100000,111,8.0,1.6136,0.02681
100000,111,9.0,1.6817,0.02869
100000,111,10.0,1.7282,0.03164
100000,111,11.0,1.7411,0.03565
100000,111,12.0,1.7303,0.04223
100000,111,13.0,1.7326,0.05095
100000,111,14.0,1.7078,0.06182
100000,111,15.0,1.669,0.07572
100000,111,16.0,1.6263,0.09296
100000,111,17.0,1.2953,0.1864
100000,111,18.0,1.2736,0.21225
100000,111,19.0,1.2834,0.22747
100000,111,20.0,1.2633,0.26414
100000,112,0.0,0.65,0.03184
100000,112,1.0,0.831,0.0251
100000,112,2.0,0.9453,0.02324
100000,112,3.0,1.057,0.02094
100000,112,4.0,1.1734,0.02027
100000,112,5.0,1.2833,0.02047
100000,112,6.0,1.3772,0.02132
100000,112,7.0,1.4655,0.02317
100000,112,8.0,1.55,0.02537
100000,112,9.0,1.6257,0.0278
100000,112,10.0,1.6763,0.03051
100000,112,11.0,1.6641,0.03494
100000,112,12.0,1.6263,0.04509
100000,112,13.0,1.6073,0.05664
100000,112,14.0,1.5572,0.0735
100000,112,15.0,1.5156,0.0916
100000,112,16.0,1.465,0.11399
100000,112,17.0,1.365,0.14994
100000,112,18.0,1.2361,0.21068
100000,112,19,1.2175,0.253155
100000,112,20.0,1.1989,0.29563
100000,121212,0.0,0.65,0.03184
100000,121212,1.0,0.831,0.0251
100000,121212,2.0,0.9453,0.02324
100000,121212,3.0,1.057,0.02094
100000,121212,4.0,1.1734,0.02027
100000,121212,5.0,1.2833,0.02047
100000,121212,6.0,1.3772,0.02132
100000,121212,7.0,1.4655,0.02317
100000,121212,8.0,1.55,0.02537
100000,121212,9.0,1.6257,0.0278
100000,121212,10.0,1.6763,0.03051
100000,121212,11.0,1.6641,0.03494
100000,121212,12.0,1.6263,0.04509
100000,121212,13.0,1.6073,0.05664
100000,121212,14.0,1.5572,0.0735
100000,121212,15.0,1.5156,0.0916
100000,121212,16.0,1.465,0.11399
100000,121212,17.0,1.365,0.14994
100000,121212,18.0,1.2361,0.21068
100000,121212,19,1.2175,0.253155
100000,121212,20.0,1.1989,0.29563
100000,149,0.0,0.65,0.03184
100000,149,1.0,0.831,0.0251
100000,149,2.0,0.9453,0.02324
100000,149,3.0,1.057,0.02094
100000,149,4.0,1.1734,0.02027
100000,149,5.0,1.2833,0.02047
100000,149,6.0,1.3772,0.02132
100000,149,7.0,1.4655,0.02317
100000,149,8.0,1.55,0.02537
100000,149,9.0,1.6257,0.0278
100000,149,10.0,1.6763,0.03051
100000,149,11.0,1.6641,0.03494
100000,149,12.0,1.6263,0.04509
100000,149,13.0,1.6073,0.05664
100000,149,14.0,1.5572,0.0735
100000,149,15.0,1.5156,0.0916
100000,149,16.0,1.465,0.11399
100000,149,17.0,1.365,0.14994
100000,149,18.0,1.2361,0.21068
100000,149,19,1.2175,0.253155
100000,149,20.0,1.1989,0.29563
100000,21,0,0.7696,0.02459
100000,21,1.0,0.7696,0.02459
100000,21,2.0,0.8795,0.0227
100000,21,3.0,0.9902,0.02099
100000,21,4.0,1.1001,0.02131
100000,21,5.0,1.2051,0.02187
100000,21,6.0,1.3055,0.02241
100000,21,7.0,1.3997,0.02336
100000,21,8.0,1.4885,0.0249
100000,21,9.0,1.5496,0.02728
100000,21,10.0,1.5978,0.0307
100000,21,11.0,1.6295,0.03592
100000,21,12.0,1.6384,0.04235
100000,21,13.0,1.6158,0.04962
100000,21,14.0,1.5884,0.0611
100000,21,15.0,1.5406,0.07674
100000,21,16.0,1.4888,0.09602
100000,21,17.0,1.2852,0.15434
100000,21,18.0,1.1751,0.20997
100000,21,19.0,1.1933,0.22229
100000,21,20.0,1.1524,0.27069
100000,26,0,0.7696,0.02459
100000,26,1.0,0.7696,0.02459
100000,26,2.0,0.8795,0.0227
100000,26,3.0,0.9902,0.02099
100000,26,4.0,1.1001,0.02131
100000,26,5.0,1.2051,0.02187
100000,26,6.0,1.3055,0.02241
100000,26,7.0,1.3997,0.02336
100000,26,8.0,1.4885,0.0249
100000,26,9.0,1.5496,0.02728
100000,26,10.0,1.5978,0.0307
100000,26,11.0,1.6295,0.03592
100000,26,12.0,1.6384,0.04235
100000,26,13.0,1.6158,0.04962
100000,26,14.0,1.5884,0.0611
100000,26,15.0,1.5406,0.07674
100000,26,16.0,1.4888,0.09602
100000,26,17.0,1.2852,0.15434
100000,26,18.0,1.1751,0.20997
100000,26,19.0,1.1933,0.22229
100000,26,20.0,1.1524,0.27069
100000,32,0.0,0.6781,0.02577
100000,32,1.0,0.7955,0.02404
100000,32,2,0.92055,0.022684999999999997
100000,32,3.0,1.0456,0.02133
100000,32,4.0,1.1495,0.02168
100000,32,5.0,1.2525,0.02219
100000,32,6.0,1.3529,0.02286
100000,32,7.0,1.446,0.02404
100000,32,8.0,1.5212,0.02551
100000,32,9.0,1.5861,0.02766
100000,32,10.0,1.622,0.03115
100000,32,11.0,1.6425,0.03608
100000,32,12.0,1.6493,0.04284
100000,32,13.0,1.6481,0.05201
100000,32,14.0,1.6255,0.06216
100000,32,15.0,1.5792,0.07751
